country,type,age of contact,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Luxembourg,physical,60-64,0.35,0.17,0.13,0.07,0.13,0.28,0.13,0.26,0.13,0.16,0.33,0.35,0.75,0.83,0.3
Luxembourg,physical,65-69,0.16,0.08,0.11,0.05,0.09,0.18,0.24,0.19,0.16,0.21,0.21,0.27,0.43,0.66,0.18
Luxembourg,physical,70+,0.22,0.15,0.21,0.18,0.33,0.39,0.33,0.17,0.31,0.66,0.84,0.39,0.6,0.59,0.8
Netherlands,all,00-04,3.5,1.71,0.25,0.19,0.33,0.57,1.0,0.92,3.0,0.0,0.0,0.23,0.39,0.12,0.22
Netherlands,all,05-09,2.47,11.88,1.56,0.19,0.0,0.5,1.25,1.62,1.14,0.71,0.31,0.08,0.28,0.24,0.29
Netherlands,all,10-14,0.32,1.06,10.97,2.5,0.08,0.0,1.5,1.0,0.71,0.93,0.08,0.31,0.22,0.06,0.2
Netherlands,all,15-19,0.15,0.24,1.44,9.19,0.83,0.29,1.25,0.08,0.57,0.79,0.46,0.46,0.39,0.0,0.24
Netherlands,all,20-24,0.24,0.18,0.16,1.25,2.42,0.57,0.75,0.85,2.29,0.71,2.23,0.85,0.5,0.29,0.29
Netherlands,all,25-29,0.21,0.88,0.13,0.44,1.58,1.86,2.25,0.62,0.86,1.21,1.85,0.38,0.56,0.41,0.32
Netherlands,all,30-34,1.26,0.71,0.25,0.44,2.67,1.0,3.75,1.0,1.71,0.86,0.85,0.92,0.94,0.18,0.49
Netherlands,all,35-39,1.15,1.53,0.78,0.75,1.58,0.86,3.0,3.92,1.29,1.79,1.23,0.69,1.17,0.59,0.71
Netherlands,all,40-44,0.53,1.76,1.56,0.69,0.67,1.07,2.13,3.08,1.86,2.5,0.38,1.54,0.78,0.65,0.71
Netherlands,all,45-49,0.24,0.47,0.94,1.38,0.92,0.5,1.63,1.69,1.29,2.21,1.23,1.0,0.61,0.35,1.24
