date,district,confirmed,deaths,from_abroad,known_domestic_source
2020-03-12,Kanta-Häme,10,0,0,0
2020-03-12,Keski-Pohjanmaa,3,0,0,0
2020-03-12,Keski-Suomi,11,0,0,0
2020-03-12,Kymenlaakso,1,0,0,0
2020-03-12,Lappi,1,0,0,0
2020-03-12,Länsi-Pohja,0,0,0,0
2020-03-12,Pirkanmaa,23,0,0,0
2020-03-12,Pohjois-Karjala,1,0,0,0
2020-03-12,Pohjois-Pohjanmaa,26,0,0,0
2020-03-12,Pohjois-Savo,4,0,0,0
2020-03-12,Päijät-Häme,2,0,0,0
2020-03-12,Satakunta,10,0,0,0
2020-03-12,Vaasa,0,0,0,0
2020-03-12,Varsinais-Suomi,14,0,0,0
2020-03-13,Ahvenanmaa,0,0,0,0
2020-03-13,Etelä-Karjala,3,0,0,0
2020-03-13,Etelä-Pohjanmaa,4,0,0,0
2020-03-13,Etelä-Savo,4,0,0,0
2020-03-13,HUS,158,0,0,0
2020-03-13,Itä-Savo,0,0,0,0
2020-03-13,Kainuu,0,0,0,0
2020-03-13,Kanta-Häme,10,0,0,0
2020-03-13,Keski-Pohjanmaa,3,0,0,0
2020-03-13,Keski-Suomi,12,0,0,0
2020-03-13,Kymenlaakso,1,0,0,0
2020-03-13,Lappi,2,0,0,0
2020-03-13,Länsi-Pohja,0,0,0,0
2020-03-13,Pirkanmaa,24,0,0,0
2020-03-13,Pohjois-Karjala,2,0,0,0
2020-03-13,Pohjois-Pohjanmaa,26,0,0,0
2020-03-13,Pohjois-Savo,4,0,0,0
2020-03-13,Päijät-Häme,2,0,0,0
2020-03-13,Satakunta,10,0,0,0
2020-03-13,Vaasa,0,0,0,0
2020-03-13,Varsinais-Suomi,16,0,0,0
2020-03-14,Ahvenanmaa,0,0,0,0
2020-03-14,Etelä-Karjala,3,0,0,0
2020-03-14,Etelä-Pohjanmaa,5,0,0,0
2020-03-14,Etelä-Savo,5,0,0,0
2020-03-14,HUS,173,0,0,0
2020-03-14,Itä-Savo,0,0,0,0
2020-03-14,Kainuu,0,0,0,0
2020-03-14,Kanta-Häme,13,0,0,0
2020-03-14,Keski-Pohjanmaa,3,0,0,0
2020-03-14,Keski-Suomi,13,0,0,0
2020-03-14,Kymenlaakso,1,0,0,0
